vrebs_en,vreb_ar,words1,mean1,mean2,mean3,mean4,mean_ar_1,mean_ar_2,mean_ar_3,mean_ar_4,,id,stats
distribute,نشر,distribute,give shares of (something); deal out; apportion,They distributed pamphlets.,She distributes resources efficiently.,We will distribute the prizes at the end.,إعطاء أسهم (شيء) ؛ توزيعات؛ يخصص,قاموا بتوزيع المنشورات.,انها توزع الموارد بكفاءة.,سنقوم بتوزيع الجوائز في النهاية.,,86,0
overcome,يغلب,overcome,succeed in dealing with (a problem or difficulty),He overcame his fear of public speaking.,She overcomes challenges with determination.,We will overcome obstacles together.,تنجح في التعامل مع (مشكلة أو صعوبة),تغلب على خوفه من التحدث أمام الجمهور.,إنها تتغلب على التحديات مع التصميم.,سوف نتغلب على العقبات معًا.,,87,0
owe,يدين,owe,have an obligation to pay or repay money,They owed a debt to the bank.,He owes his success to hard work.,We will owe gratitude to our mentors.,الالتزام بدفع أو سداد المال,كانوا مدينين للدين للبنك.,إنه مدين نجاحه للعمل الشاق.,سوف ندين بالامتنان لموجهيننا.,,88,0
succeed,ينجح,succeed,achieve the desired aim or result; be successful,She succeeded in her business venture.,They succeed in meeting deadlines.,We will succeed in reaching our goals.,تحقيق الهدف أو النتيجة المطلوبة ؛ كن ناجحا,نجحت في مشروعها التجاري.,ينجحون في مواجهة المواعيد النهائية.,سننجح في الوصول إلى أهدافنا.,,89,0
suffer,يعاني,suffer,experience or be subjected to (something bad or unpleasant),They suffered a loss in the stock market.,She suffers from allergies.,"We will suffer setbacks, but we'll overcome them.",خبرة أو تعرض (شيء سيء أو غير سار),لقد عانوا من خسارة في سوق الأوراق المالية.,انها تعاني من الحساسية.,سنعاني من النكسات ، لكننا سنتغلب عليها.,,90,0
throw,يرمي,throw,propel (something) with force through the air by a movement of the arm and hand,He threw the ball to his friend.,She throws a frisbee during lunch breaks.,We will throw a surprise party for her.,دفع (شيء) بقوة عبر الهواء بحركة الذراع واليد,ألقى الكرة على صديقه.,انها ترمي فريسبي خلال استراحات الغداء.,سنرمي حفلة مفاجئة لها.,,91,0
acquire,يكتسب,acquire,buy or obtain (an asset or object) for oneself,They acquired a new company.,He acquires rare books for his collection.,We will acquire the necessary skills.,شراء أو الحصول على (أصل أو كائن) لنفسه,اكتسبوا شركة جديدة.,يكتسب كتبًا نادرة لمجموعته.,سوف نكتسب المهارات اللازمة.,,92,0
argue,يجادل,argue,"give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others to share one's view",They argued about the decision.,She argues for environmental conservation.,We will argue our case in court.,قدم أسبابًا أو استشهد بالأدلة لدعم فكرة أو عمل أو نظرية ، عادةً بهدف إقناع الآخرين بمشاركة وجهة نظر الفرد,جادلوا حول القرار.,وهي تجادل في الحفاظ على البيئة.,سنناقش قضيتنا في المحكمة.,,93,0
confirm,يتأكد,confirm,establish the truth or correctness of (something previously believed or suspected),He confirmed the reservation.,She confirms the meeting schedule every week.,We will confirm the details later.,حدد حقيقة أو صحة (شيء يعتقد سابقًا أو يشتبه فيه),أكد الحجز.,وهي تؤكد جدول الاجتماع كل أسبوع.,سوف نؤكد التفاصيل لاحقًا.,,94,0
encouraging,تشجيع,encourage,"give support, confidence, or hope to (someone)",She encouraged her students.,They encourage teamwork in the workplace.,We will encourage innovation in our team.,قدم الدعم أو الثقة أو الأمل في (شخص ما),شجعت طلابها.,أنها تشجع العمل الجماعي في مكان العمل.,سوف نشجع الابتكار في فريقنا.,,95,0
justify,يبرر,justify,show or prove to be right or reasonable,He justified his actions.,She justifies the expenses with a detailed report.,We will justify the decision in the report.,أظهر أو تثبت أنه محق أو معقول,برر أفعاله.,إنها تبرر النفقات بتقرير مفصل.,سوف نبرر القرار في التقرير.,,96,0
possess,يمتلك,possess,have as belonging to one; own,They possessed valuable artifacts.,He possesses a rare stamp collection.,We will possess the knowledge needed.,لديك ملك واحد. ملك,كانوا يمتلكون القطع الأثرية القيمة.,يمتلك مجموعة طوابع نادرة.,سوف نمتلك المعرفة اللازمة.,,97,0
shut,اغلق,shut,move (a door or container) so as to block access or prevent escape,She shut the window.,They shut the gate before leaving.,We will shut down the computer tonight.,تحرك (باب أو حاوية) حتى يمنع الوصول أو منع الهروب,أغلقت النافذة.,أغلقوا البوابة قبل مغادرتهم.,سوف نغلق الكمبيوتر الليلة.,,98,0
calculate,حساب,calculate,determine (the amount or number of something) mathematically,He calculated the total cost.,She calculates the monthly expenses.,We will calculate the budget for the project.,تحديد (مقدار أو عدد شيء ما) رياضيا,قام بحساب التكلفة الإجمالية.,انها تحسب النفقات الشهرية.,سنحسب ميزانية المشروع.,,99,0
compete,تنافس,compete,strive to gain or win something by defeating or establishing superiority over others,They competed in the race.,He competes in international chess tournaments.,We will compete in the upcoming competition.,نسعى للحصول على شيء أو الفوز به من خلال هزيمة أو تأسيس التفوق على الآخرين,تنافسوا في السباق.,يتنافس في بطولات الشطرنج الدولية.,سوف نتنافس في المنافسة القادمة.,,100,0
consult,شاور,consult,seek information or advice from (someone with expertise in a particular area),She consulted a doctor about the symptoms.,They consult the team before making decisions.,We will consult the experts for guidance.,ابحث عن المعلومات أو المشورة من (شخص لديه خبرة في منطقة معينة),استشرت الطبيب حول الأعراض.,يستشيرون الفريق قبل اتخاذ القرارات.,سوف نتشاور الخبراء للحصول على التوجيه.,,101,0
deliver,يسلم,deliver,"bring and hand over (a letter, parcel, or ordered goods) to the proper recipient or address",He delivered the package on time.,She delivers lectures on environmental issues.,We will deliver the report next week.,أحضر وتسليم (رسالة أو طرد أو سلع مرتبة) إلى المستلم أو العنوان المناسب,قام بتسليم الحزمة في الوقت المحدد.,وهي تقدم محاضرات حول القضايا البيئية.,سنقدم التقرير الأسبوع المقبل.,,102,0
qualify,تأهل,qualify,be entitled to a particular benefit or privilege by fulfilling a necessary condition or requirement,They qualified for the scholarship.,She qualifies for the advanced training program.,We will qualify for the finals.,يحق له الحصول على فائدة أو امتياز معين من خلال الوفاء بشرط أو شرط ضروري,لقد تأهلوا للمنحة الدراسية.,إنها مؤهلة لبرنامج التدريب المتقدم.,سوف نتأهل للنهائيات.,,103,0
organize,تنظم,organize,arrange systematically; order,They organized a charity event.,He organizes his schedule for the week.,We will organize a team-building activity.,ترتيب بشكل منهجي ؛ طلب,نظموا حدثًا خيريًا.,انه ينظم جدوله لهذا الأسبوع.,سنقوم بتنظيم نشاط بناء الفريق.,,104,0
weigh,وزن,weigh,find out how heavy (someone or something) is,He weighed the luggage.,She weighs ingredients for the recipe.,We will weigh the pros and cons.,اكتشف مدى ثقل (شخص ما أو شيء ما),كان يزن الأمتعة.,إنها تزن مكونات الوصفة.,سوف نزن إيجابيات وسلبيات.,,105,0
behave,تصرف,behave,act or conduct oneself in a specified way,They behaved well at the party.,She behaves professionally in the workplace.,We will behave respectfully in the meeting.,تصرف أو يتصرف بطريقة محددة,لقد تصرفوا بشكل جيد في الحفلة.,إنها تتصرف بشكل احترافي في مكان العمل.,سوف نتصرف باحترام في الاجتماع.,,106,0
celebrate,احتفل,celebrate,acknowledge (a significant or happy day or event) with a social gathering or enjoyable activity,They celebrated their anniversary.,He celebrates achievements with his team.,We will celebrate the success together.,الاعتراف (يوم أو حدث كبير أو سعيد) مع تجمع اجتماعي أو نشاط ممتع,احتفلوا بالذكرى السنوية.,يحتفل بالإنجازات مع فريقه.,سنحتفل بالنجاح معًا.,,107,0
convince,يقنع,convince,cause (someone) to believe firmly in the truth of something,She convinced him to join the project.,They convince clients with their expertise.,We will convince them of our proposal.,تسبب (شخص ما) أن يؤمن بحزم في حقيقة شيء ما,أقنعته بالانضمام إلى المشروع.,يقنعون العملاء بخبرتهم.,سنقنعهم باقتراحنا.,,108,0
disagree,تعارض,disagree,have or express a different opinion,They disagreed on the strategy.,She disagrees with the proposed changes.,We will likely disagree on some issues.,لديك أو تعبر عن رأي مختلف,لم يوافقوا على الاستراتيجية.,إنها لا توافق على التغييرات المقترحة.,من المحتمل أن نختلف على بعض القضايا.,,109,0
establish,يٌرسّخ,establish,"set up (an organization, system, or set of rules) on a firm or permanent basis",They established a new company.,He establishes guidelines for the team.,We will establish a partnership.,إعداد (منظمة أو نظام أو مجموعة من القواعد) على أساس ثابت أو دائم,أنشأوا شركة جديدة.,انه ينشئ إرشادات للفريق.,سوف ننشئ شراكة.,,110,0
ignore,يتجاهل,ignore,deliberately pay no attention to; disregard,She ignored the warning signs.,He ignores distractions while working.,We will ignore the negative comments.,أي اهتمام عمدا ؛ تجاهل,تجاهلت علامات التحذير.,يتجاهل الانحرافات أثناء العمل.,سوف نتجاهل التعليقات السلبية.,,111,0
insist,يصر,insist,"demand something forcefully, not accepting refusal",They insisted on their point of view.,She insists on following the schedule.,We will insist on fairness in the process.,اطلب شيئًا بقوة ، وليس قبول الرفض,أصروا على وجهة نظرهم.,هي تصر على اتباع الجدول الزمني.,سوف نصر على الإنصاف في هذه العملية.,,112,0
pursue,يتحرى,pursue,follow or chase (someone or something),He pursued a career in acting.,She pursues her passion for photography.,We will pursue new opportunities.,اتبع أو مطاردة (شخص ما أو شيء من هذا القبيل),تابع مهنة في التمثيل.,تتابع شغفها بالتصوير الفوتوغرافي.,سوف نتابع فرص جديدة.,,113,0
specify,حدد,specify,identify clearly and definitely,They specified the requirements.,He specifies the project details in writing.,We will specify the terms in the contract.,تحديد بوضوح وبالتأكيد,حددوا المتطلبات.,يحدد تفاصيل المشروع في الكتابة.,سنحدد الشروط في العقد.,,114,0
warn,تحذير,warn,"inform (someone) in advance of an impending or possible danger, problem, or other unpleasant situation",She warned him about the icy road.,They warn against using outdated software.,We will warn about potential risks.,أبلغ (شخص ما) مقدمًا أو مشكلة أو مشكلة أو مشكلة غير سارة وشيكة أو غيرها,وحذرته من الطريق الجليدي.,يحذرون من استخدام البرامج القديمة.,سوف نحذر من المخاطر المحتملة.,,115,0
admire,يُعجَب ب,admire,regard with respect or warm approval; look at with pleasure,He admired her artistic talent.,She admires the dedication of her colleagues.,We will admire the achievements of the team.,فيما يتعلق باحترام أو موافقة دافئة ؛ انظر بسرور,أعجب بموهبتها الفنية.,إنها معجب بتفاني زملائها.,سوف نعجب بإنجازات الفريق.,,116,0
admit,يعترف,admit,confess to be true or to be the case,She admitted her mistake.,He admits his limitations.,We will admit the need for improvement.,اعترف بأنه صحيح أو أن يكون كذلك,اعترفت خطأها.,انه يعترف حدوده.,سوف نعترف بالحاجة إلى التحسين.,,117,0
adopt,يتبنى,adopt,"take up or start to use or follow (an idea, method, or course of action)",They adopted a new approach.,She adopts a healthy lifestyle.,We will adopt a more efficient process.,خذ أو ابدأ في استخدام أو متابعة (فكرة أو طريقة أو مسار عمل),تبنوا نهجا جديدا.,انها تتبنى نمط حياة صحي.,سوف نعتمد عملية أكثر كفاءة.,,118,0
announce,يعلن,announce,"make a formal public statement about a fact, occurrence, or intention",They announced the new product.,He announces important updates regularly.,We will announce the winner soon.,أدلي ببيان علني رسمي حول حقيقة أو حدوث أو نية,أعلنوا المنتج الجديد.,يعلن عن تحديثات مهمة بانتظام.,سوف نعلن عن الفائز قريبا.,,119,0
apologize,يعتذر,apologize,express regret for something that one has done wrong,She apologized for the misunderstanding.,They apologize for the inconvenience.,We will apologize for any delays.,أعرب عن الأسف لشيء ارتكبه خطأ,اعتذرت عن سوء الفهم.,يعتذرون عن الإزعاج.,سوف نعتذر عن أي تأخير.,,120,0
approve,يعتمد,approve,officially agree to or accept as satisfactory,He approved the proposal.,She approves the budget.,We will approve the final design.,موافقة رسميًا أو قبولها على أنها مرضية,وافق على الاقتراح.,إنها توافق على الميزانية.,سنوافق على التصميم النهائي.,,121,0
belong,ينتمي ل,belong,be the property of,The book belongs to the library.,The keys belong to the new employee.,The decision will belong to the committee.,كن ملكًا,الكتاب ينتمي إلى المكتبة.,المفاتيح تنتمي إلى الموظف الجديد.,القرار سوف ينتمي إلى اللجنة.,,122,0
criticize,ينتقد,criticize,indicate the faults of (someone or something) in a disapproving way,She criticized the performance.,They criticize the company's policies.,We will criticize the decision openly.,أشر إلى أخطاء (شخص ما أو شيء ما) بطريقة رائعة,انتقدت الأداء.,أنها تنتقد سياسات الشركة.,سوف ننتقد القرار علنا.,,123,0
arrive,يصل,arrive,reach a destination or goal,They arrived at the airport.,He arrives early for every meeting.,We will arrive at the venue on time.,الوصول إلى وجهة أو هدف,وصلوا إلى المطار.,يصل مبكرًا لكل اجتماع.,سوف نصل إلى المكان في الوقت المحدد.,,124,0
deserve,يستحق,deserve,be entitled to or worthy of,She deserved the award.,They deserve recognition for their efforts.,We will deserve the praise.,يحق له أو يستحق,انها تستحق الجائزة.,إنهم يستحقون الاعتراف بجهودهم.,سوف نستحق الثناء.,,125,0
destroy,هدم,destroy,cause severe and irreparable damage to,He destroyed the old documents.,She destroys unnecessary files regularly.,We will destroy the outdated equipment.,تسبب أضرارًا شديدة ولا يمكن إصلاحها,دمر الوثائق القديمة.,إنها تدمر الملفات غير الضرورية بانتظام.,سوف ندمر المعدات القديمة.,,126,0
hesitate,يتردد,hesitate,"pause before saying or doing something, especially through uncertainty",She hesitated before answering.,They hesitate to make a decision.,We will hesitate to take unnecessary risks.,توقف قبل القول أو فعل شيء ما ، خاصة من خلال عدم اليقين,ترددت قبل الرد.,يترددون في اتخاذ قرار.,سوف نتردد في تحمل مخاطر غير ضرورية.,,127,0
inform,يخبر,inform,give (someone) facts or information; tell,He informed the team about the changes.,She informs customers about new products.,We will inform you of any updates.,إعطاء (شخص ما) حقائق أو معلومات ؛ يخبر,أبلغ الفريق عن التغييرات.,تقوم بإبلاغ العملاء عن منتجات جديدة.,سنبلغك بأي تحديثات.,,128,0
propose,اقترح,propose,put forward (an idea or plan) for consideration or discussion,They proposed a new strategy.,She proposes improvements to the process.,We will propose a solution to the problem.,طرح (فكرة أو خطة) للنظر أو المناقشة,اقترحوا استراتيجية جديدة.,إنها تقترح تحسينات على العملية.,سنقترح حلًا للمشكلة.,,129,0
remind,يتذكر,remind,cause (someone) to remember something,She reminded him of the deadline.,They remind employees of safety protocols.,We will remind everyone about the meeting.,تسبب (شخص ما) لتذكر شيء ما,ذكرته بالموعد النهائي.,يذكرون الموظفين ببروتوكولات السلامة.,سوف نذكر الجميع بالاجتماع.,,130,0
suppose,يفترض,suppose,assume to be the case; take for granted,He supposed it would rain.,She supposes they will finish on time.,We will suppose the best-case scenario.,افترض أن تكون كذلك ؛ أمر مفروغ منه,كان يفترض أن تمطر.,تفترض أنهم سينتهيون في الوقت المحدد.,سوف نفترض السيناريو الأفضل.,,131,0
translate,يترجم,translate,express the sense of (words or text) in another language,They translated the document.,She translates articles for the website.,We will translate the manual into Spanish.,عبر عن شعور (الكلمات أو النص) بلغة أخرى,قاموا بترجمة المستند.,انها تترجم المقالات للموقع.,سوف نترجم الدليل إلى الإسبانية.,,132,0
have,يملك,have,"possess, own, or hold",She had a beautiful garden.,He has a car for commuting.,They will have a meeting tomorrow.,امتلاك أو امتلاك أو عقد,كان لديها حديقة جميلة.,لديه سيارة للتنقل.,سيكون لديهم اجتماع غدا.,,133,0
use,يستخدم,use,employ for a particular purpose,They used the old equipment.,She uses a computer for work.,We will use the new software next month.,توظيف لغرض معين,استخدموا المعدات القديمة.,تستخدم جهاز كمبيوتر للعمل.,سوف نستخدم البرنامج الجديد الشهر المقبل.,,134,0
look,ينظر,look,direct one's gaze toward someone or something,He looked at the sunset.,She looks at the presentation slides.,We will look at the options before deciding.,توجيه نظرة المرء تجاه شخص ما أو شيء ما,نظر إلى غروب الشمس.,إنها تنظر إلى شرائح العرض التقديمي.,سننظر في الخيارات قبل اتخاذ القرار.,,135,0
help,يساعد,help,assist or come to the aid of,She helped her friend move.,They help each other with assignments.,We will help organize the event.,المساعدة أو تأتي لمساعدة,ساعدت صديقتها على التحرك.,أنها تساعد بعضها البعض مع المهام.,سوف نساعد في تنظيم الحدث.,,136,0
go,يذهب,go,move from one place to another; travel,They went to the beach last weekend.,He goes to the gym every morning.,We will go on a vacation next year.,الانتقال من مكان إلى آخر؛ يسافر,ذهبوا إلى الشاطئ في نهاية الأسبوع الماضي.,يذهب إلى صالة الألعاب الرياضية كل صباح.,سنذهب في إجازة العام المقبل.,,137,0
think,يفكر,think,have a particular belief or idea,She thought it was a good idea.,He thinks critically about problems.,We will think about the proposal.,لديك اعتقاد أو فكرة خاصة,اعتقدت أنها كانت فكرة جيدة.,إنه يفكر بشكل نقدي في المشاكل.,سوف نفكر في الاقتراح.,,138,0
keep,يحفظ,keep,have or retain possession of,They kept the old photographs.,She keeps important documents in a safe.,We will keep the tradition alive.,امتلك أو الاحتفاظ به,احتفظوا بالصور القديمة.,إنها تحافظ على وثائق مهمة في آمنة.,سنبقي التقليد على قيد الحياة.,,139,0
start,يبدأ,start,begin or be reckoned from a particular point in time or space,He started a new project.,She starts her day with meditation.,We will start the construction next week.,ابدأ أو يحسب حسابها من نقطة معينة في الوقت أو المكان,بدأ مشروع جديد.,تبدأ يومها بالتأمل.,سنبدأ البناء الأسبوع المقبل.,,140,0
give,يعطي,give,freely transfer the possession of something to someone; present,She gave him a thoughtful gift.,They give back to the community.,We will give a presentation tomorrow.,نقل بحرية حيازة شيء ما إلى شخص ما ؛ حاضر,أعطته هدية مدروسة.,يعيدون إلى المجتمع.,سنقدم عرضًا تقديميًا غدًا.,,141,0
play,يلعب,play,engage in activity for enjoyment and recreation,They played a game of chess.,He plays the guitar in the band.,We will play a friendly match on Sunday.,الانخراط في النشاط من أجل التمتع والترفيه,لقد لعبوا لعبة الشطرنج.,يلعب الغيتار في الفرقة.,سوف نلعب مباراة ودية يوم الأحد.,,142,0
feel,يشعر,feel,experience an emotion or sensation,She felt happy after the news.,He feels nervous before exams.,We will feel proud of our achievements.,تجربة العاطفة أو الإحساس,شعرت بالسعادة بعد الأخبار.,انه يشعر بالتوتر قبل الامتحانات.,سوف نشعر بالفخر بإنجازاتنا.,,143,0
read,يقرأ,read,look at and comprehend the meaning of written or printed matter,They read a fascinating book.,She reads articles on current affairs.,We will read the report before the meeting.,انظر إلى وفهم معنى المسألة المكتوبة أو المطبوعة,قرأوا كتابا رائعا.,إنها تقرأ مقالات عن الشؤون الحالية.,سوف نقرأ التقرير قبل الاجتماع.,,144,0
put,يضع,put,move to or place in a particular position,He put the keys on the table.,She puts effort into her work.,We will put the plan into action.,انتقل إلى أو وضع في وضع معين,وضع المفاتيح على الطاولة.,انها تبذل الجهد في عملها.,سنضع الخطة موضع التنفيذ.,,145,0
change,يتغير,change,make or become different,They changed the color of the walls.,He changes his strategy regularly.,We will change the company policies.,جعل أو تصبح مختلفة,لقد غيروا لون الجدران.,يغير استراتيجيته بانتظام.,سنقوم بتغيير سياسات الشركة.,,146,0
cut,يقطع,cut,"make an opening, incision, or wound in (something) with a sharp-edged tool or object",She cut the paper with scissors.,They cut vegetables for dinner.,We will cut unnecessary expenses.,قم بعمل فتح أو شق أو جرح في (شيء) بأداة أو كائن حافل,لقد قطعت الورقة بالمقص.,قطعوا الخضار لتناول العشاء.,سوف نقطع النفقات غير الضرورية.,,147,0
show,يعرض,show,cause or allow (something) to be visible,He showed her the new painting.,She shows the team how to use the software.,We will show the results in the presentation.,السبب أو السماح (شيء ما) ليكون مرئيا,أظهر لها اللوحة الجديدة.,إنها توضح الفريق كيفية استخدام البرنامج.,سنعرض النتائج في العرض التقديمي.,,148,0
try,يحاول,try,make an attempt or effort to do something,They tried the new recipe.,He tries to learn a new skill every month.,We will try a different approach.,قم بمحاولة أو جهد لفعل شيء ما,حاولوا الوصفة الجديدة.,يحاول تعلم مهارة جديدة كل شهر.,سنحاول نهجًا مختلفًا.,,149,0
check,يفحص,check,"examine (something) in order to determine its accuracy, quality, or condition",She checked the document for errors.,They check the equipment before each use.,We will check the details before finalizing.,فحص (شيء ما) من أجل تحديد دقتها أو جودتها أو حالتها,فحصت المستند للأخطاء.,يقومون بفحص المعدات قبل كل استخدام.,سوف نتحقق من التفاصيل قبل الانتهاء.,,150,0
move,يتحرك,move,go in a specified direction or manner; change position,They moved to a new city.,She moves gracefully on the dance floor.,We will move to a larger office.,اذهب في اتجاه أو طريقة محددة ؛ غير المكان,انتقلوا إلى مدينة جديدة.,تتحرك برشاقة على حلبة الرقص.,سوف ننتقل إلى مكتب أكبر.,,151,0
pay,يدفع,pay,"give (someone) money that is due for work done, goods received, or a debt incurred",He paid the bill at the restaurant.,She pays her employees on time.,We will pay the invoices next week.,امنح (شخص ما) أموالًا مستحقة للعمل المنجز أو البضائع المستلمة أو الديون المتكبدة,دفع الفاتورة في المطعم.,إنها تدفع موظفيها في الوقت المحدد.,سندفع الفواتير الأسبوع المقبل.,,152,0
let,يترك,let,allow or permit,She let him borrow her car.,They let their children play outside.,We will let you know about the decision.,السماح أو السماح,سمحت له باستعارة سيارتها.,تركوا أطفالهم يلعبون في الخارج.,سنخبرك بالقرار.,,153,0
increase,يزيد,increase,"make or become greater in size, amount, or degree",They increased the production.,He increases his knowledge through reading.,We will increase the budget for marketing.,جعل أو تصبح أكبر في الحجم أو المبلغ أو الدرجة,قاموا بزيادة الإنتاج.,يزيد من معرفته من خلال القراءة.,سنزيد ميزانية التسويق.,,154,0
ask,بسأل,ask,say something in order to obtain an answer or some information,She asked about his plans.,They ask questions during the lecture.,We will ask for feedback after the presentation.,قل شيئًا من أجل الحصول على إجابة أو بعض المعلومات,سألت عن خططه.,يطرحون أسئلة أثناء المحاضرة.,سوف نطلب التعليقات بعد العرض التقديمي.,,155,0
buy,يشتري,buy,acquire in exchange for money,She bought a new dress.,He buys groceries every week.,We will buy tickets for the concert.,اكتسب في مقابل المال,اشترت ثوبًا جديدًا.,يشتري البقالة كل أسبوع.,سنشتري تذاكر للحفل الموسيقي.,,156,0
guard,يحمي,guard,watch over in order to protect or control,He guarded the entrance.,She guards the valuable artifacts.,We will guard the premises tonight.,راقب من أجل حماية أو السيطرة,كان يحرس المدخل.,انها تحرس القطع الأثرية القيمة.,سنحرس المبنى الليلة.,,157,0
hold,يمسك,hold,"grasp, carry, or support with one's arms or hands",They held hands during the walk.,She holds a bouquet of flowers.,We will hold a meeting tomorrow.,فهم أو حمل أو دعم بأذرع أو يديه,حملوا يديه أثناء المشي.,انها تحمل باقة من الزهور.,سنعقد اجتماعًا غدًا.,,158,0
offer,يعرض,offer,present or proffer (something) for (someone) to accept or reject,She offered assistance.,They offer a variety of services.,We will offer discounts next month.,حاضر أو ​​عرض (شيء) ل (شخص ما) لقبول أو رفض,قدمت المساعدة.,أنها توفر مجموعة متنوعة من الخدمات.,سنقدم خصومات الشهر المقبل.,,159,0
travel,يسافر,travel,"make a journey, typically of some length or abroad",They traveled to Europe last summer.,He travels for work frequently.,We will travel to new destinations.,قم برحلة ، عادة من بعض الطول أو في الخارج,سافروا إلى أوروبا في الصيف الماضي.,يسافر للعمل بشكل متكرر.,سوف نسافر إلى وجهات جديدة.,,160,0
cook,يطبخ,cook,"prepare (food, a dish, or a meal) by combining and heating the ingredients",She cooked a delicious meal.,He cooks dinner for the family.,We will cook together on the weekend.,تحضير (طعام أو طبق أو وجبة) عن طريق الجمع بين وتدفئة المكونات,طهي وجبة لذيذة.,يطبخ العشاء للعائلة.,سوف نطبخ معًا في عطلة نهاية الأسبوع.,,161,0
dance,الرقص,dance,"move rhythmically to music, typically following a set sequence of steps",They danced at the party.,She dances salsa every Thursday.,We will dance at the wedding.,نقل إيقاعي إلى الموسيقى ، وعادة ما يتبع تسلسل مجموعة من الخطوات,رقصوا في الحزب.,إنها ترقص سالسا كل يوم خميس.,سوف نرقص في حفل الزفاف.,,162,0
excuse,عذر,excuse,seek to lessen the blame attaching to (a fault or offense); try to justify,He excused his tardiness.,She excuses the minor mistakes.,We will excuse the oversight.,تسعى إلى تقليل اللوم الذي يعلق عليه (خطأ أو جريمة) ؛ حاول تبرير,عذر تأخره.,انها تعذر الأخطاء الطفيفة.,سوف نعذر الرقابة.,,163,0
say,يقول,say,"utter words so as to convey information, an opinion, a feeling, or an instruction",She said goodbye at the airport.,They say good morning every day.,We will say our vows at the ceremony.,الكلمات المطلقة لتوصيل المعلومات أو الرأي أو الشعور أو التعليمات,قالت وداعا في المطار.,يقولون صباح الخير كل يوم.,سوف نقول وعودنا في الحفل.,,164,0
stay,يقضي,stay,remain in the same place,He stayed at the hotel.,She stays focused during meetings.,We will stay at a beach resort.,تبقى في نفس المكان,بقي في الفندق.,تبقى مركزة خلال الاجتماعات.,سنبقى في منتجع شاطئية.,,165,0
