UB,words,count,,type,mean
,of,5220,,"(preposition,auxiliary verb)",ل
,and,5196,,(conjunction),و
,to,4951,,"(preposition,adverb)",ل
,a,4506,,"(indefinite article,noun,preposition)",أ
,in,2822,,"(preposition,adverb)",في
,is,2699,,(verb),يكون
,you,2041,,"(pronoun,noun)",أنت
,are,1843,,(verb),نكون
,for,1752,,"(preposition,conjunction)",ل
,that,1743,,"(pronoun,adjective,adverb,conjunction)",الذي - التي
,or,1487,,(conjunction),أو
,it,1386,,"(pronoun,noun)",هو - هي
,as,1363,,"(adverb,conjunction,pronoun,preposition)",d
,be,1145,,"(verb,auxiliary verb)",يكون
,on,1087,,"(preposition,adverb,adjective)",على
,your,1067,,(pronoun),لك
,with,1062,,(preposition),مع
,can,895,,"(auxiliary verb,noun)",يستطيع
,have,891,,"(verb,auxiliary verb)",يملك
,this,864,,"(pronoun,adjective,adverb)",هذا
,an,754,,(indefinite article),ان
,by,706,,"(preposition,adverb)",بواسطة
,not,658,,(adverb),لا
,but,626,,"(conjunction,preposition,adverb,noun)",لكن
,at,624,,(preposition),في
,from,622,,(preposition),من
,I,621,,(pronoun),أنا
,they,617,,(pronoun),هم
,more,597,,"(adjective,adverb)",أكثر
,will,577,,"(auxiliary verb,noun)",سوف
,if,546,,"(conjunction,noun)",لو
,some,501,,"(adjective,pronoun,adverb)",بعض
,there,470,,"(adverb,pronoun,noun,adjective)",هناك
,what,461,,"(pronoun,adjective,adverb,interjection)",ماذا
,about,451,,"(preposition,adverb,adjective)",عن
,which,449,,"(pronoun,adjective)",أيّ
,when,442,,"(adverb,conjunction)",متى
,one,441,,"(adjective,noun,pronoun)",واحد
,their,439,,(pronoun),هُم
,all,438,,"(adjective,pronoun,noun,adverb)",الجميع
,also,419,,(adverb),أيضًا
,how,412,,"(adverb,conjunction)",كيف
,many,397,,"(adjective,noun,pronoun)",كثير
,do,389,,(auxiliary verb),يفعل
,has,384,,(verb),لديه
,most,378,,"(adjective,noun,adverb)",معظم
,people,372,,(noun),الناس
,other,369,,"(adjective,noun,pronoun,adverb)",آخر
,time,369,,"(noun,adjective,verb)",وقت
,so,352,,"(adverb,conjunction,pronoun,adjective)",لذا
,was,352,,"(past,verb)",كان
,we,352,,(pronoun),نحن
,these,344,,"(pronoun,adjective)",هؤلاء
,may,336,,(auxiliary verb),يمكن
,like,324,,"(preposition,verb,conjunction,adverb)",يحب
,use,319,,"(verb,noun)",يستخدم
,into,301,,(preposition),داخل
,than,301,,(conjunction),من
,up,296,,"(adverb,preposition,adjective,noun)",أعلى
,out,294,,"(adverb,preposition,adjective,interjection)",خارج
,who,281,,(pronoun),من
,them,269,,(pronoun),هم
,make,262,,"(verb,noun)",يصنع
,because,248,,(conjunction),لأن
,such,236,,"(adjective,adverb)",هذه
,through,235,,"(preposition,adverb,adjective)",خلال
,get,233,,(verb),يحصل
,work,224,,"(noun,adjective,verb)",عمل
,even,223,,"(adjective,verb,adverb)",حتى
,different,215,,(adjective),مختلف
,its,215,,(pronoun),إنه
,no,213,,"(adverb,adjective,noun)",لا
,our,213,,(pronoun),ملكنا
,new,210,,"(adjective,adverb)",جديد
,film,209,,"(noun,verb)",فيلم
,just,208,,"(adjective,adverb)",فقط
,only,208,,"(adverb,adjective,conjunction)",فقط
,see,204,,(verb),يرى
,used,204,,(adjective),مستخدم
,good,201,,"(adjective,noun,adverb,interjection)",جيد
,water,201,,"(noun,verb,adjective)",ماء
,been,200,,"(past,verb)",كان
,need,193,,(verb),يحتاج
,should,191,,(auxiliary verb),يجب
,very,191,,(adverb),جداً
,any,190,,"(adjective,adverb)",أي
,history,187,,(noun),تاريخ
,often,187,,(adverb),غالباً
,way,185,,(noun),طريق
,well,184,,"(adverb,verb,noun,interjection)",حسنًا
,art,183,,(noun),فن
,know,181,,(verb),يعرف
,were,180,,"(past,verb)",كان
,then,179,,"(adverb,adjective)",ثم
,my,177,,(pronoun),لي
,first,176,,"(adverb,adjective)",أولاً
,would,176,,(verb),كان
,money,174,,"(noun,adjective)",مال
,each,173,,"(adjective,adverb)",كل
,over,170,,"(preposition,adjective,noun)",زيادة
,world,169,,(noun),عالم
,information,168,,(noun),معلومة
,map,167,,(noun),رسم خريطة
,find,166,,(verb),يجد
,where,166,,"(adverb,pronoun,noun)",أين
,much,165,,"(adjective,adverb)",كثيراً
,take,164,,(verb),يأخذ
,two,164,,(noun),اثنين
,want,163,,(verb),يريد
,important,160,,(adjective),مهم
,family,159,,(noun),عائلة
,those,156,,(pronoun),أولئك
,example,147,,"(noun,verb)",مثال
,while,147,,"(noun,conjunction,preposition,verb)",بينما
,he,144,,(pronoun),هو
,look,144,,"(verb,noun,interjection)",ينظر
,government,143,,(noun),حكومة
,before,141,,"(preposition,adverb,conjunction)",قبل
,help,141,,"(verb,noun,interjection)",يساعد
,between,137,,"(preposition,adverb)",بين
,go,131,,"(verb,noun,adjective,interjection)",يذهب
,own,130,,"(adjective,verb)",ملك
,however,128,,(adverb),لكن
,business,127,,"(noun,adjective)",عمل
,us,127,,(pronoun),نحن
,great,126,,"(adjective,noun,adverb,interjection)",عظيم
,his,125,,"(pronoun,adjective)",له
,being,124,,"(verb,noun)",كون
,another,123,,"(adjective,pronoun)",آخر
,health,122,,(noun),صحة
,same,120,,"(adjective,pronoun,adverb)",نفس
,study,118,,"(noun,verb)",يذاكر
,why,118,,"(adverb,conjunction,noun,interjection)",لماذا
,few,117,,"(adjective,noun,pronoun)",عدد قليل
,game,117,,"(noun,adjective,verb)",لعبة
,might,116,,"(auxiliary verb,noun)",قد
,think,116,,"(verb,adjective,noun)",يفكر
,free,115,,"(adjective,adverb,verb)",حر
,too,114,,(adverb),أيضاً
,had,113,,(auxiliary verb),ملك
,hi,113,,(interjection),أهلاً
,right,113,,"(adjective,adverb,noun,verb)",يمين
,still,112,,"(adjective,noun,adverb,verb)",ما زال
,system,111,,(noun),نظام
,after,110,,"(preposition,adjective,adverb)",بعد
,computer,109,,(noun),حاسوب
,best,108,,"(adjective,adverb,noun,verb)",أفضل
,must,108,,"(auxiliary verb,verb,adjective,noun)",يجب
,her,107,,(pronoun),ها
,life,107,,"(noun,adjective)",حياة
,since,107,,"(preposition,adverb,conjunction)",منذ
,could,105,,(auxiliary verb),استطاع
,does,104,,(verb),يفعل
,now,104,,"(adverb,conjunction,adjective)",الآن
,during,103,,(preposition),خلال
,learn,102,,(verb),يتعلم
,around,101,,"(adverb,preposition)",حول
,usually,101,,(adverb),عادة
,form,99,,"(noun,verb)",استمارة
,meat,99,,(noun),لحمة
,air,98,,"(noun,verb)",هواء
,day,98,,"(noun,adjective)",يوم
,place,98,,"(noun,verb)",مكان
,become,97,,(verb),يصبح
,number,97,,"(noun,verb)",رقم
,public,97,,"(adjective,noun)",عام
,read,97,,"(verb,noun)",يقرأ
,keep,96,,"(verb,noun)",يحفظ
,part,96,,"(noun,verb,adverb)",جزء
,start,96,,"(verb,noun)",يبدأ
,year,96,,(noun),سنة
,every,95,,(adjective),كل
,field,95,,"(noun,verb,adjective)",مجال
,large,95,,(adjective),كبير
,once,95,,"(adverb,conjunction)",مرة واحدة
,available,94,,(adjective),متاح
,down,94,,"(adverb,preposition,adjective,verb)",تحت
,give,93,,"(verb,noun)",يعطي
,fish,92,,"(noun,verb)",سمكة
,human,92,,"(adjective,noun)",بشر
,both,91,,"(adjective,adverb)",كلاهما
,local,90,,"(adjective,noun)",محلي
,sure,90,,"(adjective,adverb)",بالتأكيد
,something,89,,(pronoun),شئ ما
,without,89,,"(preposition,adverb,conjunction)",بدون
,come,88,,(verb),يأتي
,me,88,,(pronoun),أنا
,back,86,,"(noun,adverb,verb,adjective)",خلف
,better,86,,"(adjective,adverb,noun,verb)",أحسن
,general,85,,"(adjective,noun)",عام
,process,85,,"(noun,verb)",عملية
,she,85,,"(pronoun,noun)",هي
,heat,84,,"(noun,verb)",حرارة
,thanks,84,,(noun),شكرًا
,specific,83,,"(adjective,noun)",محدد
,enough,82,,"(adjective,adverb,interjection)",كافٍ
,long,82,,"(adjective,noun,adverb,verb)",طويل
,lot,82,,"(pronoun,adverb,noun,verb)",كثير
,hand,81,,"(noun,verb)",يُسلِّم
,popular,81,,(adjective),شائع
,small,81,,"(adjective,adverb)",صغير
,though,81,,"(conjunction,adverb)",رغم ذلك
,experience,80,,"(noun,verb)",خبرة
,include,80,,(verb),يشمل
,job,80,,"(noun,verb)",وظيفة
,music,80,,(noun),موسيقى
,person,80,,(noun),شخص
,really,79,,(adverb),حقًا
,although,78,,(conjunction),بالرغم من
,thank,78,,(verb),شكر
,book,77,,"(noun,verb)",كتاب
,early,77,,(adverb),مبكر
,reading,77,,(noun),قراءة
,end,76,,"(noun,verb)",نهاية
,method,76,,(noun),طريقة
,never,76,,(adverb),أبداً
,less,75,,"(adjective,adverb,preposition)",أقل
,play,75,,"(verb,noun)",يلعب
,able,74,,(adjective),قادر
,data,74,,(noun),بيانات
,feel,74,,"(verb,noun)",يشعر
,high,74,,"(adjective,noun,adverb)",عالي
,off,74,,"(adverb,preposition,adjective,noun)",عن
,point,74,,"(noun,verb)",نقطة
,type,74,,"(noun,verb)",يكتب
,whether,74,,(conjunction),سواء
,food,73,,(noun),طعام
,understanding,73,,(noun),فهم
,here,72,,"(adverb,interjection)",هنا
,home,72,,"(noun,adjective,adverb,verb)",بيت
,certain,71,,"(adjective,pronoun)",تأكيد
,economy,71,,"(noun,adjective)",اقتصاد
,little,71,,"(adjective,adverb)",قليل
,theory,71,,(noun),نظرية
,tonight,71,,"(adverb,noun)",الليلة
,law,70,,(noun),قانون
,put,70,,"(verb,noun)",يضع
,under,70,,"(preposition,adverb,adjective)",تحت
,value,70,,"(noun,verb)",قيمة
,always,69,,(adverb),دائماً
,body,69,,"(noun,verb)",جسم
,common,69,,"(adjective,noun)",شائع
,market,69,,"(noun,verb)",سوق
,set,69,,"(verb,noun,adjective)",تعيين
,bird,68,,(noun),طائر
,guide,68,,"(noun,verb)",مرشد
,provide,68,,(verb),يمد
,change,67,,"(verb,noun)",يتغير
,interest,67,,"(noun,verb)",اهتمام
,literature,67,,(noun),الأدب
,sometimes,67,,(adverb),أحيانا
,problem,66,,(noun),مشكلة
,say,66,,"(verb,interjection,noun)",يقول
,next,64,,"(adjective,adverb,noun)",التالي
,create,63,,(verb),يخلق
,simple,63,,"(adjective,noun)",بسيط
,software,63,,(noun),برمجة
,state,63,,"(noun,verb)",ولاية
,together,63,,(adverb),معاً
,control,62,,(noun),يتحكم
,knowledge,62,,(noun),معرفة
,power,62,,(noun),قوة
,radio,62,,"(noun,verb)",راديو
,ability,61,,(noun),قدرة
,basic,61,,(adjective),أساسي
,course,61,,"(noun,verb)",دورة
,economics,61,,(noun),الاقتصاد
,hard,61,,"(adjective,adverb)",صعب
,add,60,,(verb),يضيف
,company,60,,"(noun,verb)",شركة
,known,60,,(adjective),معروف
,love,60,,(noun),حب
,past,60,,"(adjective,noun,preposition,adverb)",ماضي
,price,60,,"(noun,verb)",سعر
,size,60,,"(noun,verb,adjective)",مقاس
,away,59,,"(adverb,adjective)",بعيد
,big,59,,"(adjective,noun)",كبير
,internet,59,,(noun),إنترنت
,possible,59,,"(adjective,noun)",ممكن
,television,59,,(noun),تلفزيون
,three,59,,(number),ثلاثة
,understand,59,,(verb),يفهم
,various,59,,(adjective),متنوع
,yourself,59,,(pronoun),نفسك
,card,58,,"(noun,verb)",بطاقة
,difficult,58,,(adjective),صعب
,including,58,,(preposition),مشتمل
,list,58,,"(noun,verb)",قائمة
,mind,58,,"(noun,verb)",عقل
,particular,58,,"(adjective,noun)",خاص
,,58,,"(adjective,adverb,noun)",#VALUE!
,science,58,,(noun),علوم
,trade,58,,"(noun,verb)",تجارة
,consider,57,,(verb),يعتبر
,either,57,,"(conjunction,adjective)",أيضاً
,library,57,,(noun),مكتبة
,likely,57,,(adverb),محتمل
,nature,57,,(noun),طبيعة
,fact,56,,(noun),حقيقة
,line,56,,"(noun,verb)",خط
,product,56,,(noun),منتج
,care,55,,"(noun,verb)",رعاية
,group,55,,"(noun,verb)",مجموعة
,idea,55,,(noun),فكرة
,risk,55,,"(noun,verb)",مخاطرة
,several,55,,(adjective),عديد
,someone,55,,(pronoun),شخص ما
,temperature,55,,(noun),درجة حرارة
,united,55,,(adjective),متحد
,word,55,,"(noun,verb,interjection)",كلمة
,fat,54,,"(noun,adjective,verb)",سمين
,force,54,,"(noun,verb)",قوة
,key,54,,"(noun,adjective,verb)",مفتاح
,light,54,,"(noun,verb,adjective)",ضوء
,simply,54,,(adverb),ببساطة
,today,54,,"(adverb,noun)",اليوم
,training,54,,"(noun,adjective)",تمرين
,until,54,,(preposition),حتى
,major,53,,"(adjective,noun,verb)",رئيسي
,name,53,,"(noun,verb,adjective)",اسم
,personal,53,,"(adjective,noun)",شخصي
,school,53,,"(noun,verb)",مدرسة
,top,53,,"(noun,adjective,verb)",قمة
,current,52,,"(adjective,noun)",حاضِر
,generally,52,,(adverb),عمومًا
,historical,52,,(adjective),تاريخي
,investment,52,,(noun),استثمار
,left,52,,"(adjective,adverb)",غادر
,national,52,,"(adjective,noun)",وطني
,amount,51,,"(noun,verb)",كمية
,level,51,,"(noun,adjective,verb)",مستوى
,order,51,,"(noun,verb)",طلب
,practice,51,,"(noun,verb)",يمارس
,research,51,,"(noun,verb)",بحث
,sense,51,,"(noun,verb)",حاسة
,service,51,,"(noun,verb)",خدمة
,area,50,,(noun),منطقة
,cut,50,,"(verb,noun)",يقطع
,hot,50,,(adjective),حار
,instead,50,,(adverb),بدلاً من
,least,50,,"(adjective,adverb)",الأقل
,natural,50,,"(adjective,noun,adverb)",طبيعي
,physical,50,,"(adjective,noun)",بدني
,piece,50,,"(noun,verb)",قطعة
,show,50,,"(verb,noun)",يعرض
,society,50,,(noun),مجتمع
,try,50,,"(verb,noun)",يحاول
,check,49,,"(verb,noun,interjection)",يفحص
,choose,49,,(verb),يختار
,develop,49,,(verb),يطور
,second,49,,"(number,noun)",ثانية
,useful,49,,(adjective),مفيد
,web,49,,"(noun,verb)",الويب
,activity,48,,(noun),نشاط
,boss,48,,"(noun,verb,adjective)",رئيس
,short,48,,"(adjective,adverb,noun,verb)",قصير
,story,48,,(noun),قصة
,call,47,,"(verb,noun)",يتصل
,industry,47,,(noun),صناعة
,last,47,,"(adjective,adverb,noun,verb)",آخر
,media,47,,(noun),وسائط
,mental,47,,(adjective),عقلي
,move,47,,"(verb,noun)",يتحرك
,pay,47,,"(verb,noun)",يدفع
,sport,47,,"(noun,verb)",رياضة
,thing,47,,(noun),شيء
,actually,46,,(adverb),في الحقيقة
,against,46,,(preposition),ضد
,far,46,,"(adverb,adjective)",بعيد
,fun,46,,"(noun,adjective,verb)",هزار
,house,46,,"(noun,adjective,verb)",منزل
,let,46,,"(verb,noun)",يترك
,page,46,,"(noun,verb)",صفحة
,remember,46,,(verb),يتذكر
,term,46,,"(noun,verb)",شرط
,test,46,,"(noun,verb)",امتحان
,within,46,,"(preposition,adverb)",داخل
,along,45,,"(preposition,adverb)",على امتداد
,answer,45,,"(noun,verb)",إجابة
,increase,45,,"(verb,noun)",يزيد
,oven,45,,(noun),فرن
,quite,45,,"(adverb,interjection)",تمامًا
,scared,45,,(adjective),مقدس
,single,45,,"(adjective,noun,verb)",أعزب
,sound,45,,"(noun,verb,adjective)",صوت
,again,44,,(adverb),مرة أخرى
,community,44,,(noun),مجتمع
,definition,44,,(noun),تعريف
,focus,44,,"(noun,verb)",ركز
,individual,44,,"(adjective,noun)",فردي
,matter,44,,"(noun,verb)",موضوع
,safety,44,,(noun),أمان
,turn,44,,"(verb,noun)",دور
,everything,43,,(pronoun),كل شئ
,kind,43,,"(noun,adjective)",عطوف
,quality,43,,(noun),جودة
,soil,43,,"(noun,verb)",تربة
,ask,42,,"(verb,noun)",بسأل
,board,42,,"(noun,verb)",سبورة
,buy,42,,"(verb,noun)",يشتري
,development,42,,(noun),تطوير
,guard,42,,"(verb,noun)",يحمي
,hold,42,,"(verb,noun)",يمسك
,language,42,,(noun),لغة
,later,42,,"(adverb,interjection)",لاحقاً
,main,42,,"(adjective,noun)",رئيسي
,offer,42,,"(verb,noun)",يعرض
,oil,42,,"(noun,verb)",زيت
,picture,42,,"(noun,verb)",صورة
,potential,42,,"(adjective,noun)",محتمل
,professional,42,,"(adjective,noun)",احترافي
,rather,42,,(adverb),بدلاً
,access,41,,"(noun,verb,adjective)",وصول
,additional,41,,(adjective),إضافي
,almost,41,,(adverb),بالكاد
,especially,41,,(adverb),خصوصاً
,garden,41,,"(noun,verb)",حديقة
,international,41,,"(adjective,noun)",دولي
,lower,41,,"(adjective,adverb)",أدنى
,management,41,,(noun),إدارة
,open,41,,"(adjective,verb,noun)",يفتح
,player,41,,(noun),لاعب
,range,41,,"(noun,verb)",يتراوح
,rate,41,,"(noun,verb)",معدل
,reason,41,,"(noun,verb)",سبب
,travel,41,,"(verb,noun)",يسافر
,variety,41,,(noun),متنوع
,video,41,,(noun),فيديو
,week,41,,(noun),أسبوع
,above,40,,"(adverb,preposition,adjective,noun)",فوق
,according,40,,"(adjective,verb)",حسب
,cook,40,,"(verb,noun)",يطبخ
,determine,40,,(verb),يحدد
,future,40,,"(noun,adjective)",مستقبل
,site,40,,"(noun,verb)",موقع
,alternative,39,,"(adjective,noun)",بديل
,demand,39,,"(noun,verb)",يطلب
,ever,39,,(adverb),أبدًا
,exercise,39,,"(noun,verb)",يمارس
,following,39,,"(preposition,noun,adjective)",التالي
,image,39,,"(noun,verb)",صورة
,quickly,39,,(adverb),بسرعة
,special,39,,"(adjective,noun)",خاص
,working,39,,"(adjective,noun)",عمل
,case,38,,"(noun,verb)",قضية
,cause,38,,"(noun,verb)",سبب
,coast,38,,"(noun,verb)",ساحل
,probably,38,,(adverb),من المحتمل
,security,38,,(noun),حماية
,TRUE,38,,"(adjective,adverb,verb)",حقيقي
,whole,38,,"(adjective,noun,adverb)",جميع
,action,37,,"(noun,adjective)",فعل
,age,37,,"(noun,verb)",عمر
,among,37,,(preposition),ضمن
,bad,37,,"(noun,adverb,adjective)",سيء
,boat,37,,"(noun,verb)",قارب
,country,37,,(noun),دولة
,dance,37,,"(verb,noun)",رقص
,exam,37,,(noun),امتحان
,excuse,37,,"(verb,noun)",عذر
,grow,37,,(verb),ينمو
,movie,37,,(noun),فيلم
,organization,37,,(noun),منظمة
,record,37,,"(noun,verb)",سِجِلّ
,result,37,,"(noun,verb)",نتيجة
,section,37,,"(noun,verb)",قسم
,across,36,,"(preposition,adverb,adjective)",عير
,already,36,,(adverb),بالفعل
,below,36,,(adverb),أقل
,building,36,,"(noun,verb)",مبنى
,mouse,36,,"(noun,verb)",الماوس
,allow,35,,(verb),يسمح
,cash,35,,"(noun,verb)",نقدي
,class,35,,"(noun,verb,adjective)",فصل
,clear,35,,"(adjective,adverb,verb)",واضح
,dry,35,,"(adjective,verb,noun)",جاف
,easy,35,,"(adjective,adverb,interjection)",سهل
,emotional,35,,(adjective),عاطفي
,equipment,35,,(noun),معدات
,live,35,,"(verb,adjective,adverb)",يعيش
,nothing,35,,"(noun,pronoun,adjective,adverb)",لا شئ
,period,35,,"(noun,adjective)",فترة
,physics,35,,(noun),الفيزياء
,plan,35,,"(noun,verb)",يخطط
,store,35,,"(noun,verb)",محل
,tax,35,,"(noun,verb)",ضريبة
,analysis,34,,(noun),تحليل
,cold,34,,"(adjective,noun,adverb)",بارد
,commercial,34,,"(adjective,noun)",تجاري
,directly,34,,(adverb),مباشرة
,full,34,,"(adjective,adverb,noun,verb)",ممتلىء
,involved,34,,"(past,verb)",متضمن
,itself,34,,(pronoun),نفسها
,low,34,,"(adjective,noun,adverb,verb)",قليل
,old,34,,(adjective),قديم
,policy,34,,(noun),سياسة
,political,34,,(adjective),سياسي
,purchase,34,,"(verb,noun)",شراء
,series,34,,(noun),مسلسل
,side,34,,"(noun,verb)",جانب
,subject,34,,"(noun,adjective,adverb,verb)",موضوع
,supply,34,,(verb),إمداد
,therefore,34,,(adverb),لذلك
,thought,34,,(noun),معتقد
,basis,33,,(noun),أساس
,boyfriend,33,,(noun),صديقها
,deal,33,,"(verb,noun)",اتفاق
,direction,33,,(noun),اتجاه
,mean,33,,"(verb,adjective,noun)",يقصد
,primary,33,,"(adjective,noun)",أساسي
,space,33,,"(noun,verb)",فضاء
,strategy,33,,(noun),استراتيجية
,technology,33,,(noun),تكنولوجيا
,worth,33,,"(adjective,noun)",يستحق
,army,32,,(noun),جيش
,camera,32,,(noun),آلة تصوير
,fall,32,,"(verb,noun)",يسقط
,freedom,32,,(noun),حرية
,paper,32,,(noun),ورق
,rule,32,,"(noun,verb)",قاعدة
,similar,32,,(adjective),مشابه
,stock,32,,"(noun,adjective,verb)",مخزون
,weather,32,,"(noun,verb)",طقس
,yet,32,,"(adverb,conjunction)",حتى الآن
,bring,31,,(verb),يحضر
,chance,31,,"(noun,adjective,verb)",فرصة
,environment,31,,(noun),بيئة
,everyone,31,,(pronoun),الجميع
,figure,31,,"(noun,verb)",شكل
,improve,31,,(verb),يحسن
,man,31,,"(noun,verb,interjection)",رجل
,model,31,,"(noun,verb)",نموذج
,necessary,31,,"(adjective,noun)",ضروري
,positive,31,,"(adjective,noun)",إيجابي
,produce,31,,"(verb,noun)",ينتج
,search,31,,"(verb,noun)",يبحث
,source,31,,"(noun,verb)",مصدر
